route_id,agency_id,route_short_name,route_long_name,route_type,route_url,route_color,route_text_color
19-226-s24-1,1,226,Sauerlach - Altkirchen - Deisenhofen Ost,701,,005262,FFFFFF
19-227-s23-6,1,227,Ortsbus Oberhaching,701,,005262,FFFFFF
19-227-s24-2,1,227,Ortsbus Oberhaching,701,,005262,FFFFFF
19-229-s23-1,1,229,"Ottobrunn, Phönix-Bad - Karl-Stieler-Str. - Neubiberg - Neuperlach Süd",701,,005262,FFFFFF
19-229-s24-1,1,229,"Ottobrunn, Phönix-Bad - Karl-Stieler-Str. - Neubiberg - Neuperlach Süd",701,,005262,FFFFFF
19-230-s23-7,1,230,Haar - Feldkirchen - Ismaning - Garching - Forschungszentrum,701,,005262,FFFFFF
19-230-s24-4,1,230,Haar - Feldkirchen - Ismaning - Garching - Forschungszentrum,701,,005262,FFFFFF
19-230-V-s23-1,1,230V,"Garching, Untere Straßäcker - Ismaning",701,,005262,FFFFFF
19-230-V-s24-1,1,230V,"Garching, Untere Straßäcker - Ismaning",701,,005262,FFFFFF
19-230-W-s23-1,1,230W,"Ottendichl -  Haar, Jagdfeldbad",701,,005262,FFFFFF
19-231-s23-1,1,231,Ismaning - Unterföhring - Studentenstadt,701,,005262,FFFFFF
19-231-s24-1,1,231,Ismaning - Unterföhring - Studentenstadt,701,,005262,FFFFFF
19-231-V-s23-1,1,231V,"Unterföhring, Siedlerstraße - Ismaning",701,,005262,FFFFFF
19-231-V-s24-1,1,231V,"Unterföhring, Siedlerstraße - Ismaning",701,,005262,FFFFFF
19-232-s23-1,1,232,Ortsbus Unterföhring,701,,005262,FFFFFF
19-232-s24-2,1,232,Ortsbus Unterföhring,701,,005262,FFFFFF
19-233-s23-4,1,233,"Studentenstadt - Unterföhring, Gewerbegebiet - Unterföhring",701,,005262,FFFFFF
19-233-s24-2,1,233,"Studentenstadt - Unterföhring, Gewerbegebiet - Unterföhring",701,,005262,FFFFFF
19-234-s23-1,1,234,Messestadt West - Feldkirchen - Aschheim - Unterföhring,701,,005262,FFFFFF
19-234-s24-1,1,234,Messestadt West - Feldkirchen - Aschheim - Unterföhring,701,,005262,FFFFFF
19-234-V-s23-1,1,234V,"Messestadt Ost - Feldkirchen - Aschheim, Realschule",701,,005262,FFFFFF
19-234-V-s24-1,1,234V,"Messestadt Ost - Feldkirchen - Aschheim, Realschule",701,,005262,FFFFFF
19-236-s23-15,1,236,Fischerhäuser - Ismaning - Waldorfschule,701,,005262,FFFFFF
19-236-s23-16,1,236,Fischerhäuser - Ismaning - Waldorfschule,701,,005262,FFFFFF
19-236-s24-2,1,236,Fischerhäuser - Ismaning - Waldorfschule,701,,005262,FFFFFF
19-240-s23-13,1,240,"Harthausen, Kriegerdenkmal - Grasbrunn - Neukeferloh, Bahnhofstr.",701,,005262,FFFFFF
19-240-s23-14,1,240,"Harthausen, Kriegerdenkmal - Grasbrunn - Neukeferloh, Bahnhofstr.",701,,005262,FFFFFF
19-240-s24-1,1,240,"Höhenkirchen-Sieg. - Harthausen - Grasbrunn - Neukeferloh, Bahnhofstr.",701,,005262,FFFFFF
19-240-V-s23-2,1,240V,Harthausen - Grasbrunn - Neukeferloh - Vaterstetten / Haar,701,,005262,FFFFFF
19-240-V-s24-1,1,240V,Harthausen - Grasbrunn - Neukeferloh - Vaterstetten / Haar,701,,005262,FFFFFF
19-241-s23-10,1,241,"Haar - Ottobrunn - Taufkirchen - Taufkirchen, Friedhof",701,,005262,FFFFFF
19-241-s23-8,1,241,"Haar - Ottobrunn - Taufkirchen - Taufkirchen, Friedhof",701,,005262,FFFFFF
19-241-s24-1,1,241,"Haar - Ottobrunn - Taufkirchen - Taufkirchen, Friedhof",701,,005262,FFFFFF
19-242-s23-1,1,242,Haar - Ottendichl -  Gronsdorf,701,,005262,FFFFFF
19-242-s24-1,1,242,Haar - Ottendichl -  Gronsdorf,701,,005262,FFFFFF
19-242-V-s23-1,1,242V,Gronsdorf - Ottendichl -  Haar,701,,005262,FFFFFF
19-242-V-s24-1,1,242V,Gronsdorf - Ottendichl -  Haar,701,,005262,FFFFFF
19-243-s23-12,1,243,"Haar, Lise-Meitner-Weg - Haar - Neukeferloh, Ostring",701,,005262,FFFFFF
19-243-s23-13,1,243,"Haar, Lise-Meitner-Weg - Haar - Neukeferloh, Ostring",701,,005262,FFFFFF
19-243-s24-1,1,243,"Haar, Lise-Meitner-Weg - Haar - Neukeferloh, Ostring - Baldham, Realschule",701,,005262,FFFFFF
19-244-s23-1,1,244,"Taufkirchen, Hugo-Junkers-Straße - Höhenkirchen-Sieg. - Brunnthal - Sauerlach",701,,005262,FFFFFF
19-244-s24-1,1,244,"Taufkirchen, Hugo-Junkers-Straße - Höhenkirchen-Sieg. - Brunnthal - Sauerlach",701,,005262,FFFFFF
19-258-s23-3,1,258,"Lochham, Starnberger Str. - Lochham - Gräfelfing, Rathaus - Planegg - Gräfelfing",701,,005262,FFFFFF
19-258-s23-8,1,258,"Lochham, Starnberger Str. - Lochham - Gräfelfing, Rathaus - Planegg - Gräfelfing",701,,005262,FFFFFF
19-258-s24-1,1,258,"Lochham, Starnberger Str. - Lochham - Gräfelfing, Rathaus - Planegg - Gräfelfing",701,,005262,FFFFFF
19-259-s23-2,1,259,"Pasing Bf - Gräfelfing, Am Haag - Martinsried",701,,005262,FFFFFF
19-259-s24-2,1,259,"Pasing Bf - Gräfelfing, Am Haag - Martinsried",701,,005262,FFFFFF
19-260-s23-1,1,260,Germering-Unterpfaffenhofen - Planegg - Fürstenried West,701,,005262,FFFFFF
19-260-s24-1,1,260,Germering-Unterpfaffenhofen - Planegg - Fürstenried West,701,,005262,FFFFFF
19-260-V-s23-1,1,260V,"Neuried, Hainbuchenring - Planegg Gymnasium",701,,005262,FFFFFF
19-260-V-s24-1,1,260V,"Neuried, Hainbuchenring - Planegg Gymnasium",701,,005262,FFFFFF
19-261-s23-1,1,261,"Neuried, Hainbuchenring - Fürstenried West",701,,005262,FFFFFF
19-261-s24-1,1,261,"Neuried, Hainbuchenring - Fürstenried West",701,,005262,FFFFFF
19-262-s23-5,1,262,Messestadt Ost - Feldkirchen - Kirchheim - Pliening - Neufinsing,701,,005262,FFFFFF
19-262-s24-2,1,262,Messestadt Ost - Feldkirchen - Kirchheim - Pliening - Neufinsing,701,,005262,FFFFFF
19-263-s23-1,1,263,Messestadt West - Riem Dornach - Aschheim - Heimstetten Nord - Feldkirchen,701,,005262,FFFFFF
19-263-s24-1,1,263,Messestadt West - Riem Dornach - Aschheim - Kirchheim - Heimstetten Nord - Feldkirchen,701,,005262,FFFFFF
19-263-V-s23-8,1,263V,"Messestadt Ost - Feldkirchen - Kirchheim - Aschheim, Realschule - Riem Dornach - Messestadt West",701,,005262,FFFFFF
19-263-V-s24-2,1,263V,"Messestadt Ost - Feldkirchen - Kirchheim - Aschheim, Realschule - Riem Dornach - Messestadt West",701,,005262,FFFFFF
19-264-s23-1,1,264,Messestadt West - Dornach Gewerbegebiet - Riem Dornach,701,,005262,FFFFFF
19-264-s24-1,1,264,Messestadt West - Dornach Gewerbegebiet - Riem Dornach,701,,005262,FFFFFF
19-265-s23-2,1,265,Pasing Bf - Gräfelfing - Steinkirchen - Planegg,701,,005262,FFFFFF
19-265-s24-2,1,265,Pasing Bf - Gräfelfing - Steinkirchen - Planegg,701,,005262,FFFFFF
19-266-s23-4,1,266,Planegg - Martinsried - Klinikum Großhadern,701,,005262,FFFFFF
19-266-s24-1,1,266,Planegg - Martinsried - Klinikum Großhadern,701,,005262,FFFFFF
19-266-s24-2,1,266,Planegg - Martinsried - Klinikum Großhadern,701,,005262,FFFFFF
19-267-s23-1,1,267,"München, Altenburgstraße - Lochham - Martinsried - Fürstenried West",701,,005262,FFFFFF
19-267-s23-2,1,267,Altenburgstr. - Lochham - Martinsried - Fürstenried West,701,,005262,FFFFFF
19-267-s23-4,1,267,Altenburgstr. - Lochham - Martinsried - Fürstenried West,701,,005262,FFFFFF
19-267-s24-1,1,267,Altenburgstr. - Lochham - Martinsried - Fürstenried West,701,,005262,FFFFFF
19-267-V-s23-2,1,267V,"Neuried, Rathaus - Martinsried - Pasing, Gymnasium",701,,005262,FFFFFF
19-267-V-s23-3,1,267V,"Neuried, Rathaus - Martinsried - Pasing, Gymnasium",701,,005262,FFFFFF
19-267-V-s24-1,1,267V,"Neuried, Rathaus - Martinsried - Pasing, Gymnasium",701,,005262,FFFFFF
19-268-s23-3,1,268,Waldfriedhof - Großhadern - Gräfelfing,701,,005262,FFFFFF
19-268-s23-5,1,268,Waldfriedhof - Großhadern - Gräfelfing,701,,005262,FFFFFF
19-268-s23-6,1,268,Waldfriedhof - Großhadern - Gräfelfing,701,,005262,FFFFFF
19-268-s24-1,1,268,Waldfriedhof - Großhadern - Gräfelfing,701,,005262,FFFFFF
19-269-s23-1,1,269,"Neuried, Maxhofweg - Klinikum Großhadern",701,,005262,FFFFFF
19-269-s24-1,1,269,"Neuried, Maxhofweg - Klinikum Großhadern",701,,005262,FFFFFF
19-270-s23-1,1,270,Höllriegelskreuth - Pullach - Georgenstraße - Solln,701,,005262,FFFFFF
19-270-s24-1,1,270,Höllriegelskreuth - Pullach - Georgenstraße - Solln,701,,005262,FFFFFF
19-270-V-s23-1,1,270V,"München, Siemensallee - Pullach, Gartenstr. / Rathaus",701,,005262,FFFFFF
19-270-V-s24-1,1,270V,"München, Siemensallee - Pullach, Gartenstr. / Rathaus",701,,005262,FFFFFF
19-271-s23-6,1,271,Dietramszell - Straßlach - Höllriegelskreuth,701,,005262,FFFFFF
19-271-s24-1,1,271,Dietramszell - Straßlach - Höllriegelskreuth,701,,005262,FFFFFF
19-271-s24-3,1,271,Dietramszell - Straßlach - Höllriegelskreuth,701,,005262,FFFFFF
19-271-V-s23-4,1,271V,"Egling - Straßlach - Grünwald, Gymnasium",701,,005262,FFFFFF
19-271-V-s24-1,1,271V,"Egling - Straßlach - Grünwald, Gymnasium",701,,005262,FFFFFF
19-271-V-s24-2,1,271V,"Egling - Straßlach - Grünwald, Gymnasium",701,,005262,FFFFFF
19-272-N-s23-3,1,N272,Nachtbuslinie Grünwald,3,,005262,FFFFFF
19-272-N-s24-1,1,N272,Nachtbuslinie Grünwald,3,,005262,FFFFFF
19-290-s23-1,1,290,Stadtbus Garching Unt. Straßäcker - Garching-Hochbrück - Hochbrück,701,,005262,FFFFFF
19-290-s24-1,1,290,Stadtbus Garching Untere Straßäcker - Garching-Hochbrück - Hochbrück,3,,005262,FFFFFF
19-290-V-s23-1,1,290V,"Hochbrück, Jahnstr. - Prof.-Angermair-Ring",701,,005262,FFFFFF
19-290-V-s24-1,1,290V,"Hochbrück, Jahnstr. - Prof.-Angermair-Ring",3,,005262,FFFFFF
19-291-s23-1,1,291,Dachau - Oberschleißheim - Unterschleißheim West,701,,005262,FFFFFF
19-291-s24-1,1,291,Dachau - Oberschleißheim - Unterschleißheim West,701,,005262,FFFFFF
19-292-s23-5,1,292,Garching-Forschungszentrum - Garching - Garching-Hochbrück - Oberschleißheim - Sonnenstraße,701,,005262,FFFFFF
19-292-s24-1,1,292,Garching-Forschungszentrum - Garching - Garching-Hochbrück - Oberschleißheim - Sonnenstraße,701,,005262,FFFFFF
19-292-s24-2,1,292,Garching-Forschungszentrum - Garching - Garching-Hochbrück - Oberschleißheim - Sonnenstraße,701,,005262,FFFFFF
19-293-s23-2,1,293,Dirnismaning - Garching,701,,005262,FFFFFF
19-293-s24-1,1,293,Dirnismaning - Garching,701,,005262,FFFFFF
